car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
q3,audi,audi q3 2.0 tdi quattro sport s tronic,2015,270000,18990,diesel,automatica,none
c3,citroen,citroen c3 1.2 puretech c-series,2021,81409,14480,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijludwltyxy4cxj0dditu1revlrmufqifq.ltoaut2-xwxjp2df466v9-sn5f561vx5fitjychm3d8/image;s=320x240
c4,citroen,citroen c4 1.5 bluehdi feel pack,2022,48887,26450,diesel,manual,none
c1,citroen,citroen c1 1.0 vti feel,2020,88580,10240,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrnd2vldnnhctz1odmtu1revlrmufqifq.iftyq3moargnyilkef77mzx7hxohgvnr-0j1pgnud18/image;s=320x240
c4,citroen,citroen grand c4 spacetourer 1.5 bluehdi feel business eat8,2020,101258,20980,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijrpzhjznzrubznuotitu1revlrmufqifq.tdhy0nqbgeywobub4thafawcxsufdm6llz0xpaeymq4/image;s=320x240
c5,citroen,citroen c5 aircross 1.5 bluehdi shine,2020,125000,23490,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invpymxvoxnncxfratitu1revlrmufqifq.7-juphed2qs4jxu6dao8yzjhkubiivpfxvxz_xgaclu/image;s=320x240
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,21000,19690,gasolina,manual,none
e-tron,audi,audi e-tron 55 quattro s line,2019,83209,49999,electrico,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imfobgv6mm1tbza2mtetu1revlrmufqifq.mix_0fjrp-j7-n_fxsxeajsfmgcni0qevfv5avmubcg/image;s=320x240
c4,citroen,citroen c4 cactus 1.5 bluehdi shine,2020,65122,19690,diesel,manual,none
a3,audi,audi a3 sportback 1.6 tdi s-line,2018,136000,24900,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtxcgt4nmrmmte1atetu1revlrmufqifq.eitzxeewwtux-uavibb5ie1bcp8wwb_93jh0mwxrkoq/image;s=320x240
