car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link
clio,renault,renault clio sport tourer 1.5 dci limited edition,2017,73990,14950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imr0mxjuywuydtrpcjmtu1revlrmufqifq.thfxaz3zowpuuuyelj-6pgc7-zdttgpso2wtl5-xdce/image;s=320x240
clio,renault,renault clio 1.5 dci dynamique s 83g,2015,165000,11200,diesel,manual,none
clio,renault,renault clio sport tourer (energy) dci 90 start & stop limited,2014,169000,9990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imu0ymq2a3cyznvlntitu1revlrmufqifq.njzlph347prirbkvjmabqus-vzgnve26czhey7lyfym/image;s=320x240
clio,renault,renault clio tce 90 dynamique,2020,42650,14970,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inpyag83bxnsn2xjadetu1revlrmufqifq.69rcyt2jmt6o8zh2bpkhjddsns8hiqoulx0ysf0lpy0/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci gt line,2017,163450,13650,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imfsodd6z2c3athibjmtu1revlrmufqifq.emzzwssmcxqb4m41zvr2ijecjplbtemdrc1bcdemube/image;s=320x240
clio,renault,renault clio 1.0 tce limited,2021,59750,15180,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imlrywt0ampwown5nzetu1revlrmufqifq.mawftevrj8qzzyf5exxko_p1yegq3dhgfnarinvgzu8/image;s=320x240
clio,renault,renault clio 1.0 tce limited,2021,53731,15180,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imrlmhdsdnhuedrqddetu1revlrmufqifq.igfid-uhvh7pmyguavfszgli1axsesnyhvtgzanf0gk/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci limited,2019,130000,14550,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzybxlvbmg0a3g4ay1tverwvexqvcj9.gkllqtbdonsoytzivekoo2sm4lx7elftngyi4sgomey/image;s=320x240
clio,renault,renault clio energy dci 90 edc intens,2016,94000,14950,diesel,automatica,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imtrexn6d21nagzpntitu1revlrmufqifq.fbodaddjhozdkilwvfjx7zfdakpf3psofhc2o8nn_oe/image;s=320x240
polo,vw,vw polo 1.0 tsi confortline,2020,78000,15900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6iny0odrly2k3d3vlbjmtu1revlrmufqifq.y3t71b1rrqfnlg7fj6gtckllipsfedkj1qkleyfkpcs/image;s=320x240
clio,renault,renault clio sce 75 experience,2020,21000,15500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6impietbtagfxmgjuzjmtu1revlrmufqifq.f-qgx4yw0g1lmsl2s-vgo2cxlmrkigjfkrfyqbnh9zi/image;s=320x240
clio,renault,renault clio 1.0 tce intens,2020,92556,16250,gasolina,manual,none
clio,renault,renault clio 1.5 dci dynamique s,2015,105000,11500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imxmehrknzzpdhgzzzitu1revlrmufqifq.zz38z8g9gzgyfnc2ed6npg0l3zvzpou7gp3vxx1qhse/image;s=320x240
clio,renault,renault clio 1.0 tce evolution,2022,12962,18290,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ine1dgdqbwq4bjzpys1tverwvexqvcj9.itemctv4osnq2ermuiglqjhgug4bjwas_vv4zg8p5iq/image;s=320x240
clio,renault,renault clio 1.0 tce intens,2020,77000,15400,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6im9jzja1mzuzdndjnzetu1revlrmufqifq.yitesqqzqoshwvvea8cjzrasfy-wsyhwqtpzfb7qlec/image;s=320x240
clio,renault,renault clio 1.0 tce rs line,2022,20258,19990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6innxbjvxeglpege0ay1tverwvexqvcj9.twgevokcxo4qmhawnb5kocbdjjfdmgd9yaq68mzy60w/image;s=320x240
polo,vw,vw polo 1.0 tsi life,2021,19092,19490,gasolina,manual,none
clio,renault,renault clio 0.9 tce limited edition,2019,116000,12990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvtndf3aws3mnn0zjmtu1revlrmufqifq.f2re5khun1a_v1on1cycz-7w_vdcifbnchihv_fgsd4/image;s=320x240
clio,renault,renault clio 1.5 dci dynamique s,2017,94000,14990,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijr5bdluzdrxbda3otmtu1revlrmufqifq.1517iyhbuwaovf1ywwjfkbmaxnp_m6x9c-w2-nq7wwa/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci limited,2018,185994,12480,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvpywq5ddn1cm1jadetu1revlrmufqifq._sis4cl_cokjzc_e1oygjqxbadxsarlzq1obk8c5aii/image;s=320x240
clio,renault,renault clio 1.5 dci dynamique,2006,268114,5650,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inzommtmd3z4emcxdjmtu1revlrmufqifq.t_aebfw4oustytt0bgze30ienl3o7riirbjvsxtvlqu/image;s=320x240
polo,vw,vw polo 1.6 tdi scr comfortline,2019,182256,17250,diesel,manual,none
clio,renault,renault clio 1.5 blue dci intens,2019,120000,14990,diesel,manual,none
clio,renault,renault clio sce 75 experience,2021,85000,14490,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijf5bnb6nxd4zzg5ntetu1revlrmufqifq.pp7ieuba9p2kcfyxedguoccpqccvnp0fqfc-vrjy-vw/image;s=320x240
clio,renault,renault clio 1.0 tce intens,2021,50181,17900,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6infzdw5lmmo5zndhbdmtu1revlrmufqifq.acrrjus3akapxmuut8iefmyixhrdrnny6ajf5gpkahc/image;s=320x240
clio,renault,renault clio 1.5 blue dci zen,2020,100697,18500,diesel,manual,none
clio,renault,renault clio 1.0 tce limited,2021,73000,17500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijuwyw4yb3bqbxnteditu1revlrmufqifq.on-6howxebau4yxzhtdjlvhx3xggh5znuuknenbvrlq/image;s=320x240
clio,renault,renault clio sport tourer 1.5 dci limited,2017,138081,13450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijvpajjxngczzzcwzzmtu1revlrmufqifq.x55v0u-goxjtvbwbso_fi31aicwldfbk-n9unad85sg/image;s=320x240
clio,renault,renault clio sport tourer 0.9 tce limited,2020,32000,16950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6impodmhyeg00a3g1cjetu1revlrmufqifq.e7tdvumnqndkduh0yly2wf6a6nhmarrsvtrdtjrxmns/image;s=320x240
clio,renault,renault clio 0.9 tce limited,2018,47586,13990,gasolina,manual,none
clio,renault,renault clio,2018,134730,14440,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6img0mnawbm9mdg82yy1tverwvexqvcj9.dkupeyqq_dlvnb70l4eto3gajqegr-li_udmswv0yqq/image;s=320x240
clio,renault,renault clio 1.0 tce limited,2022,25500,18950,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inbobzhxywl5owhyytetu1revlrmufqifq.miedccqymascfbf8-ylbuecwfmwnlnuc9e9fzdih22o/image;s=320x240
clio,renault,renault clio 1.5 dci dynamique s,2013,158168,9450,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijjjyjmxogg2eg05cdmtu1revlrmufqifq.brxppjteb_fsczwjve-bnzvunoof67youjdis6ugt4a/image;s=320x240
clio,renault,renault clio 1.5 blue dci zen,2019,73000,17750,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inbsb3u5anjicmcyztmtu1revlrmufqifq.2ycakqxs8scvlu6ilwlb69dlw7ergre5u4nl0momp8g/image;s=320x240
